"Channels in MPC","In practice, communication between threads using message passing occurs through channels, which can facilitate different types of communication patterns:


Handshake: One-to-one communication between a sender and a receiver thread.


Multicast: One-to-many communication, where a message is sent to a group of specific threads.


Broadcast: One-to-all communication, delivering the message to every thread in the system.


To manage these patterns, it is common to use a naming scheme that uniquely identifies each communication channel.
Messages are sent and received via these named channels, enabling organized and decoupled communication. 
In some systems, channel objects are used, where:


Send endpoints only allow sending messages.


Receive endpoints only allow receiving messages.


This separation of concerns enhances clarity and can help prevent misuse or race conditions in concurrent systems."
"The Actor Model of Concurrent Programming","The Actor Model is a conceptual model for handling concurrency, inspired by ideas in quantum mechanics, general relativity, and programming paradigms from languages such as Lisp. It is implemented as a primitive in several modern programming languages, including Erlang, Scala, Swift, and Ruby.

Core Principles


Actors are the fundamental units of computation.


No shared memory: Each actor operates independently and does not access the internal state of others.


Unique addresses: Each actor has a unique address to which messages can be sent.


Own thread of control: Actors process messages independently, allowing true concurrency.


Mailbox: Each actor has a mailbox (a FIFO queue) to receive messages in the order they arrive.


Message Passing


Messages are the only way actors communicate — they consist of values, which can be typed or untyped.


Messages can include addresses of other actors, allowing for dynamic communication topologies.


Actors only send messages to actors whose address they already know (e.g., received in a message or created themselves).


Actor Behaviours
Upon receiving a message, an actor may:


Send messages to other actors.


Spawn new actors.


Change its own internal behaviour (e.g., by altering how it handles future messages).


This model enables a highly modular, scalable, and fault-tolerant approach to concurrent programming, especially useful in distributed systems."
"Deadlocks (Formal Definition)","A deadlock is a situation in concurrent programming where a group of threads (or processes) are permanently blocked, each waiting for a resource that the other thread holds, and none of them can proceed."
"Locking Contention and Locking Overhead","Locking contention 
Occurs when multiple threads compete to acquire the same lock.
When a thread tries to acquire a lock that's already held by another thread, it must wait (block). If many threads try to acquire the same lock frequently, they spend more time waiting than doing useful work.

Locking Overhead Refers to the cost of acquiring and releasing a lock, even when there's no contention.
Includes: Time spent checking lock state (e.g., in the CPU's cache or memory). CPU instructions required to manage synchronization. Cache invalidation and context switching overhead, particularly in systems with multiple cores."
"Subroutines and Coroutines","A subroutine is a named block of code that performs a specific task. When a subroutine (such as a method or function) is called, the program's control flow jumps to that block, executes its instructions, and then returns to the point where it was called. Execution in the main program halts until the subroutine finishes—this is known as blocking behavior.


A coroutine generalises this concept by allowing execution to be paused and resumed. Unlike subroutines, coroutines can yield control back to the caller without finishing, and later resume from where they left off. They enable non-blocking behavior, meaning one coroutine can start another without waiting for it to complete.
The catch with coroutines is that, unlike threads, they don't run simultaneously. When coroutine A calls coroutine B, control transfers to B, and A is suspended. However, B can yield before finishing, allowing A to resume from where it left off. This cooperative switching between coroutines contrasts with subroutines, which must complete entirely before control returns.


Coroutines are often implemented on a single thread or using a thread pool, rather than creating new threads for each task. 
This allows them to provide concurrency (multiple tasks in progress) without parallelism (tasks running at the exact same time), which traditional multithreading can offer."
"Coroutines vs Concurrency (Cooperative vs Pre-emptive Multitasking)","The core difference lies in how control is handed over between tasks and whether true parallelism is achieved.



Concurrency with threads often enables true parallelism on multi-core systems, as multiple threads can execute simultaneously. However, context switches are controlled by the operating system, which may interrupt threads at unpredictable points. This makes it harder to reason about shared resources and often requires complex synchronization (e.g., locks, mutexes) to avoid race conditions.



Coroutines provide concurrency without parallelism. They run on a single thread and cooperate by explicitly yielding control at known points. This is called cooperative multitasking. Because context switches are programmer-defined, coroutines are much easier to reason about. However, they can be less performant in CPU-bound workloads if true parallelism is required, and they demand more discipline in how yielding is handled."
"Goroutines and Kotlin Coroutines","Goroutines (Go)


What are they?

Goroutines are lightweight, independently executing functions in Go, created with the go keyword. They are basically virtual threads which only use message passing (not shared memory).

Scheduling Model:

Managed by the Go runtime using pre-emptive multitasking. The runtime maps thousands of goroutines onto a small pool of OS threads.


Parallelism:

Goroutines can achieve true parallelism if GOMAXPROCS is set above 1, leveraging multiple CPU cores.


Communication:

Primarily through channels, following CSP (Communicating Sequential Processes) principles.


Key Characteristics:


No explicit coroutine lifecycle


Fire-and-forget style; no structured parent-child relationships


Context switching is runtime-managed and invisible to the programmer



Kotlin Coroutines


What are they?

Kotlin coroutines are language-supported concurrency primitives that are built using coroutine builders, such as launch, async, and runBlocking.


Structured Concurrency:

Each coroutine is associated with a Job, giving it a clear lifecycle. This enforces hierarchical scoping: when a parent coroutine is cancelled, all its children are cancelled too.


Cooperative Multitasking:

Context switching is explicit, occurring only at suspension points (e.g., delay(), await()). This makes execution predictable and easier to reason about.


Parallelism:

Not automatic. Coroutines are concurrent by default, but can run in parallel when dispatched to a multi-threaded dispatcher (e.g., Dispatchers.Default).


Key Characteristics:


Built on top of Jobs for lifecycle control and cancellation


Support structured concurrency, improving resource safety


Use Dispatchers to control threading (e.g., Main, IO, Default)


Ideal for asynchronous, non-blocking programming"
"Thread Pools (Definition + Pros + Cons)","A thread pool is an object that manages a group of reusable threads for executing tasks. 
Instead of creating a new thread for every task, tasks are submitted to the pool, which assigns them to existing threads. In Java, this is provided by the Executor interface, which defines a single method: void execute(Runnable task);

Java provides several built-in thread pool implementations via the Executors utility class:


newSingleThreadExecutor() – A pool with a single worker thread.


newCachedThreadPool() – A pool with a dynamically resizing number of threads.


newFixedThreadPool(int n) – A pool with a fixed number of threads.Pros


Abstracts thread management away from the programmer.


Reduces overhead from creating and destroying threads repeatedly.


Improves efficiency by reusing threads for multiple tasks.


Supports task queuing and flexible scheduling policies.



Cons


Deadlocks can occur if the pool size is too small and tasks block while waiting for others.


Resource exhaustion if the pool is too large, leading to high memory and CPU usage.


Thread leaks can occur if tasks throw exceptions and are not properly handled or if threads are not returned to the pool.

 Key Consideration

It's essential to choose an appropriately sized thread pool based on the workload to balance resource usage and responsiveness."
"What is a leak in programming (general term)","Definition:
In general, a leak in programming refers to a resource that is no longer needed but hasn't been properly released, so it continues to consume system resources unnecessarily. 
Leaks usually happen when the program forgets to release something, or loses access to it without freeing it.
This could be memory, threads, files or connections.

Impacts:
Cause performance degradation over time.Can lead to resource exhaustion (e.g. out of memory, too many open files).Often hard to detect until the program has been running for a while."
"Futures and Promises","Futures and Promises are abstractions used to represent a value that will be available in the future - usually the result of an asynchronous computation running on a different thread or in a thread pool.

Promise: A promise is a write-side handle - it is an object that produces a result, usually completed by some asynchronous task. You (or the system) fulfil a promise by assigning it a value or an error.

Future: A future is the read-side handle - it’s an object that represents a placeholder for a result that’s not ready yet, but will be. You retrieve the result from a future once the associated promise has been fulfilled.

Think of it like this:


You create a Promise and get a corresponding Future.


You pass the future to the consumer (e.g., return it from a method).


Meanwhile, some computation happens asynchronously (e.g., in a thread pool).


Once the result is ready, the promise is completed.


The future becomes ""fulfilled"", and the result is accessible."
"Async / Await","Core Idea: Mark a function with **async** to indicate it returns a future/promise. Use **await** inside that function to pause execution until another future/promise completes - without blocking a thread.
This creates non-blocking, asynchronous flow with blocking-style readability.

How it works: 
If the value is not ready, the function suspends, like a coroutine, but does not block the underlying thread.
The thread is returned to the system (or thread pool) to do other work."
"Two measures of performance in a concurrent system?","Throughput - tasks per unit time
Responsiveness - time until first response from a tasks"
"What is scalability?","The concept of scalability refers to the ability to increase performance by increasing the number of system resources:
Increasing clock speedIncreasing memoryIncreasing cache sizes
However, the relationship between added resources and performance is not always linear. The actual scalability depends heavily on:


How efficiently the system or code uses new resources.


How much parallelism or concurrency is possible.


Whether there are bottlenecks (e.g., I/O, locking, memory bandwidth).


The architecture of the system (e.g., single-threaded vs multi-threaded, distributed vs monolithic)."
"Amdahl's Law (+Derivation)","Ahmdahl's law is a useful guide for measuring theoretical limits on system performance based on parallel execution of a fixed task.

Suppose that F is the fraction of a task that is sequential and let N be the number of processors (CPUs / Cores) available.
The law states:
speedup ≤ 1 / (F + (1 - F) / N) 

This is essentially saying that the theoretical limit is bounded by the % of the program which is sequential. The more processes we have, the closer we get to it.


Derivation:
If T is the execution time of a task, then this can be written as T = FT + (1-F)*T
By adding the time taken by the sequential portion (F) of the task and the parallel portion (1-F).
If we use N processors, then theoretically the parallel portion would have a revised execution time of ((1 - F)*T) / N
Therefore, the total execution would be T' = FT + ((1-F)*T) / N
Then, the speedup as just a ratio is just T / T' - the original time to execute over the revised time.

Therefore: Speedup (=  T / T')  
= (T  /  (FT + ((1-F)*T) / N) 
= 1 / (F + ((1-F) / N))"
"Lock-Free Algorithms (CAS, Exponential Backoff, Elimination Arrays)","Lock-free algorithms allow the implementation of thread-safe data structures without traditional locking, which can significantly reduce lock contention. 
While the code is delicate and carefully engineered, it can deliver excellent performance under high concurrency.


Treiber Stack Example

A classic example is the Treiber stack, a lock-free stack. 
The idea is to add an element only if no other thread has modified the stack since the operation began. 
This is achieved using a Compare-And-Set (CAS) instruction.


Compare-And-Set (CAS)

CAS is a hardware-supported atomic instruction available in many modern architectures (and in Java since version 5).

It works as follows:

CAS(V, A, B) — If the memory location V contains value A, it is atomically replaced with B, and the operation returns true. 
If V does not contain A, nothing is changed, and the operation returns false.

This mechanism allows us to implement lock-free updates by repeatedly attempting the operation until successful.

Exponential Backoff

When multiple threads compete for the same memory location, CAS may fail repeatedly, leading to high contention and wasted CPU cycles.

To reduce this, threads can wait for a brief, randomized delay before retrying — doubling the wait time after each failure. This technique, known as exponential backoff, reduces contention and improves performance under load.


Elimination Arrays

In highly concurrent scenarios, elimination arrays allow threads to pair off and resolve their operations without accessing the shared structure.

For example, if one thread wants to push and another wants to pop, the value can be passed directly between them — eliminating the need to touch the shared stack and reducing contention further."
"Fine-Grained Concurrency (Definition + Pros + Cons)","Definition:
Fine-grained concurrency is a concurrency control strategy where multiple locks are used to protect smaller parts of a data structure, rather than locking the entire structure at once.
This allows more threads to operate concurrently without blocking each other unnecessarily. 
This reduces lock contention

Instead of using one big lock for the whole structure (called coarse-grained locking), we split the structure into smaller parts, each with its own lock. 
This allows multiple operations to proceed in parallel as long as they don’t interfere.

Pros:
Increased parallelism: Threads can work on different parts of the structure at the same time. Better scalability: Performance scales more smoothly with increasing thread count. Reduced contention: Threads block each other less often.

Cons:
Complexity: More difficult to implement and reason about. Deadlock risk: Improper lock acquisition order can lead to deadlocks. Maintenance: Harder to debug and maintain than coarse-grained locking."
